Услуги-Авиация, Летища и Авиолинии;35.5
Производство-Химия и горива;50.0
Услуги-Архитектура, Строителство и Градоустройство;564.7
Технологии-Маркетинг;247.0
Услуги-Почистване, Услуги за домакинството;737.5
Технологии-Счетоводство, Одит, Финанси;616.5
Производство-Металургия и минно дело;48.0
Технологии-Човешки ресурси;118.5
Услуги-Институции/Държавна администрация;17.7
Услуги-Административни и офис дейности;1193.8
Технологии-ИТ-Разработка/поддръжка на софтуер;1087.5
Технологии-Право, Юридически услуги;60.8
Технологии-Образование, Курсове, Преводи;432.2
Услуги-Шофьори, Куриери;1144.3
Услуги-Морски и Речен Транспорт/Морски Специалисти;9.7
Услуги-Организации с нестопанска цел;28.7
Производство-Производство(друго);1066.7
Услуги-Търговия, Продажби-Продавачи и помощен персонал;3349.2
Услуги-Салони за красота;525.2
Технологии-Телекомуникации-административни дейности и продажби;162.3
Производство-Храни и Напитки;473.7
Технологии-Инженери;427.2
Производство-Електроника/Електротехника, Машиностроене;479.8
Технологии-ИТ-Разработка/поддръжка на хардуер;210.0
Услуги-Спорт, Кинезитерапия;89.8
Производство-Фармация;27.8
Добив-Селско и горско стопанство, Рибовъдство;106.7
Услуги-Пътуване и Резервации/Туристически агенции;126.7
Услуги-Застраховане;175.3
Услуги-Контакт центрове (Call Centers);372.5
Услуги-Логистика, Спедиция;635.7
Технологии-ИТ-Административни дейности и продажби;335.3
Технологии-Научна и изследователска дейност;21.8
Услуги-Изкуство, Развлечение, Промоции;395.7
Услуги-Търговия, Продажби-Експерти и мениджъри;858.7
Технологии-Дизайн, Криейтив, Видео и Анимация;175.7
Технологии-Медии;73.2
Услуги-Здравеопазване и фармация;748.0
Услуги-Хотели;768.3
Услуги-Автомобили, Автосервизи, Бензиностанции;589.2
Технологии-Бизнес/Консултантски услуги;140.3
Производство-Текстил и Облеклa;477.5
Услуги-Охрана;291.8
Технологии-Мениджмънт, бизнес развитие;101.0
Услуги-Банки/Кредитиране;375.5
Услуги-Ремонт/Инсталация/Сервиз;624.2
Услуги-Ресторанти, Кетъринг;2734.8
Технологии-Реклама/PR;114.8
Услуги-Недвижими имоти;275.7
Технологии-Телекомуникации-инженери и техници;100.2
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);142.5
