Услуги-Авиация, Летища и Авиолинии;0.5
Производство-Химия и горива;4.7
Услуги-Архитектура, Строителство и Градоустройство;13.5
Технологии-Маркетинг;3.7
Услуги-Почистване, Услуги за домакинството;21.0
Технологии-Счетоводство, Одит, Финанси;17.8
Производство-Металургия и минно дело;0.5
Технологии-Човешки ресурси;1.5
Услуги-Институции/Държавна администрация;0.0
Услуги-Административни и офис дейности;34.5
Технологии-ИТ-Разработка/поддръжка на софтуер;11.7
Технологии-Право, Юридически услуги;3.0
Технологии-Образование, Курсове, Преводи;3.5
Услуги-Шофьори, Куриери;45.7
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.5
Услуги-Организации с нестопанска цел;0.0
Производство-Производство(друго);89.5
Услуги-Търговия, Продажби-Продавачи и помощен персонал;118.7
Услуги-Салони за красота;25.0
Технологии-Телекомуникации-административни дейности и продажби;2.5
Производство-Храни и Напитки;10.3
Технологии-Инженери;10.0
Производство-Електроника/Електротехника, Машиностроене;17.5
Технологии-ИТ-Разработка/поддръжка на хардуер;1.0
Услуги-Спорт, Кинезитерапия;1.0
Производство-Фармация;0.0
Добив-Селско и горско стопанство, Рибовъдство;3.5
Услуги-Пътуване и Резервации/Туристически агенции;1.2
Услуги-Застраховане;4.2
Услуги-Контакт центрове (Call Centers);2.3
Услуги-Логистика, Спедиция;33.2
Технологии-ИТ-Административни дейности и продажби;3.3
Технологии-Научна и изследователска дейност;0.0
Услуги-Изкуство, Развлечение, Промоции;10.0
Услуги-Търговия, Продажби-Експерти и мениджъри;25.7
Технологии-Дизайн, Криейтив, Видео и Анимация;4.8
Технологии-Медии;1.0
Услуги-Здравеопазване и фармация;8.0
Услуги-Хотели;11.0
Услуги-Автомобили, Автосервизи, Бензиностанции;26.3
Технологии-Бизнес/Консултантски услуги;1.7
Производство-Текстил и Облеклa;59.2
Услуги-Охрана;5.8
Технологии-Мениджмънт, бизнес развитие;0.7
Услуги-Банки/Кредитиране;8.7
Услуги-Ремонт/Инсталация/Сервиз;19.7
Услуги-Ресторанти, Кетъринг;85.3
Технологии-Реклама/PR;1.5
Услуги-Недвижими имоти;3.5
Технологии-Телекомуникации-инженери и техници;1.2
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);8.8
