Услуги-Авиация, Летища и Авиолинии;27.7
Производство-Химия и горива;9.3
Услуги-Архитектура, Строителство и Градоустройство;302.3
Технологии-Маркетинг;157.3
Услуги-Почистване, Услуги за домакинството;405.3
Технологии-Счетоводство, Одит, Финанси;363.5
Производство-Металургия и минно дело;14.8
Технологии-Човешки ресурси;88.8
Услуги-Институции/Държавна администрация;10.2
Услуги-Административни и офис дейности;647.3
Технологии-ИТ-Разработка/поддръжка на софтуер;863.8
Технологии-Право, Юридически услуги;40.3
Технологии-Образование, Курсове, Преводи;278.5
Услуги-Шофьори, Куриери;388.5
Услуги-Морски и Речен Транспорт/Морски Специалисти;0.7
Услуги-Организации с нестопанска цел;14.0
Производство-Производство(друго);289.3
Услуги-Търговия, Продажби-Продавачи и помощен персонал;1377.3
Услуги-Салони за красота;305.5
Технологии-Телекомуникации-административни дейности и продажби;92.0
Производство-Храни и Напитки;155.8
Технологии-Инженери;231.2
Производство-Електроника/Електротехника, Машиностроене;114.7
Технологии-ИТ-Разработка/поддръжка на хардуер;158.8
Услуги-Спорт, Кинезитерапия;54.8
Производство-Фармация;11.2
Добив-Селско и горско стопанство, Рибовъдство;12.2
Услуги-Пътуване и Резервации/Туристически агенции;51.2
Услуги-Застраховане;95.8
Услуги-Контакт центрове (Call Centers);272.3
Услуги-Логистика, Спедиция;312.7
Технологии-ИТ-Административни дейности и продажби;249.5
Технологии-Научна и изследователска дейност;15.7
Услуги-Изкуство, Развлечение, Промоции;169.3
Услуги-Търговия, Продажби-Експерти и мениджъри;374.0
Технологии-Дизайн, Криейтив, Видео и Анимация;104.3
Технологии-Медии;51.5
Услуги-Здравеопазване и фармация;468.8
Услуги-Хотели;122.7
Услуги-Автомобили, Автосервизи, Бензиностанции;246.0
Технологии-Бизнес/Консултантски услуги;97.3
Производство-Текстил и Облеклa;109.5
Услуги-Охрана;153.5
Технологии-Мениджмънт, бизнес развитие;67.3
Услуги-Банки/Кредитиране;192.5
Услуги-Ремонт/Инсталация/Сервиз;243.7
Услуги-Ресторанти, Кетъринг;1122.0
Технологии-Реклама/PR;75.0
Услуги-Недвижими имоти;109.7
Технологии-Телекомуникации-инженери и техници;53.7
Услуги-Енергетика и Ютилитис (Ток/Вода/Парно/Газ);55.7
